t,dobrushin,row_hetero,RV_t,VIX_t
1222,0.0243065408430993,0.0057107749398208,0.0013019721871647,22.71
1223,0.0301990695297718,0.0069771936909618,0.0012983718310516,23.84
1224,0.0313551230356097,0.0072591787404835,0.0012854475553339,23.11
1225,0.0275535499677062,0.0063933292328558,0.0012067080111454,23.7
1226,0.0292441649362444,0.0067570817082969,0.0011640024032605,22.66
1227,0.0289721572771668,0.0067242426941992,0.0011433296040546,21.64
1228,0.0296267671510577,0.0068718282493326,0.0003044729757278,21.25
1229,0.027361623942852,0.0063503385054242,0.0003065729875955,20.84
1230,0.0273295524530112,0.0063412787624782,0.000295478197111,20.57
1231,0.0285737900994718,0.0066348254774706,0.0002931150265342,20.77
1232,0.0273540345951914,0.0063544520017023,0.0003031107786827,21.17
1233,0.0305541157722473,0.0070639857313649,0.0002689625263297,21.28
1234,0.0293389046564698,0.0067972924196559,0.0002669678346162,20.79
1235,0.0277938512153923,0.0064533016760441,0.0002650380658735,21.3
1236,0.0226332275196909,0.0053252808059807,0.0003263755123792,20.68
1237,0.0267846062779426,0.006126955868394,0.0003364000170464,22.27
1238,0.0268419869244098,0.0062467863902399,0.0003342210512892,22.52
1239,0.0310440231114625,0.0071504837115254,0.0002373008503433,23.31
1240,0.0306230215355753,0.0071213091833372,0.0002323288192481,24.72
1241,0.0309268478304147,0.0071737788586253,0.0002298795649433,22.89
1242,0.0296375267207622,0.0068792947533505,0.0001853360428181,22.5
1243,0.0306817297823727,0.0071212847162075,0.0001828260872069,21.93
1244,0.0317046465352177,0.0073526437221853,0.0001752471120239,21.57
1245,0.0301294862292706,0.0075390958612916,0.0001724487531141,25.16
1246,0.0339269707910716,0.0085380174244694,0.000268400565123,24.23
1247,0.0395698514766991,0.0100360804635667,0.0003052939413804,23.31
1248,0.0375099005177617,0.0095281988376067,0.0003052427190443,21.53
1249,0.0340667264536023,0.0086444571645623,0.0003000001151151,21.7
1250,0.035709393210709,0.0090760633092285,0.000294885356503,23.08
1251,0.0348216062411665,0.0088347095450518,0.0002879701972255,22.77
1252,0.0325405104085803,0.0082408401224548,0.0002707101329243,22.75
1253,0.0321854394860565,0.0081323143088506,0.0002992971627941,26.97
1254,0.0227571316063404,0.0056553624921575,0.0003046878270516,25.34
1255,0.0291926222853362,0.0073319351382127,0.0003167961644643,25.07
1256,0.0281234430149197,0.0070700487912152,0.0003212251637701,22.37
1257,0.0311736329458653,0.0078738702116189,0.0002763986306004,21.56
1258,0.0316937714815139,0.0080061708899961,0.000271519855691,24.08
1259,0.0299197942949831,0.0075248639397197,0.000243868697415,23.33
1260,0.0335015538148582,0.0084790970045157,0.0002875579132762,22.21
1261,0.0246960436925292,0.0061670815672487,0.0002990462638115,23.25
