n_bins,n_st,method,model,alpha,tau,val_LL,delta_val
40,40,quantile,backoff,1.0,200.0,-3.6897249979310236,-0.0010545134311694682
40,40,quantile,backoff,1.0,500.0,-3.6882986712156005,0.00037181328425361926
40,40,quantile,backoff,1.0,1000.0,-3.688304417799542,0.0003660667003120288
40,40,quantile,backoff,5.0,10.0,-3.693544571178751,-0.004874086678896994
40,40,quantile,backoff,5.0,50.0,-3.689337139000087,-0.0006666545002329549
40,40,quantile,backoff,5.0,100.0,-3.688480316944209,0.00019016755564527088
40,40,quantile,backoff,5.0,200.0,-3.688279254623016,0.00039122987683803956
40,40,quantile,backoff,5.0,500.0,-3.688396844747526,0.0002736397523279699
40,40,quantile,backoff,5.0,1000.0,-3.6885081026111526,0.00016238188870154602
40,40,quantile,backoff,10.0,10.0,-3.689331646623408,-0.0006611621235537157
40,40,quantile,backoff,10.0,50.0,-3.688399665280898,0.00027081921895621974
40,40,quantile,backoff,10.0,100.0,-3.688303497126422,0.00036698737343199284
40,40,quantile,backoff,10.0,200.0,-3.688369453309443,0.00030103119041102744
40,40,quantile,backoff,10.0,500.0,-3.6885059127687194,0.00016457173113471057
40,40,quantile,backoff,10.0,1000.0,-3.6885787956335445,9.168886630961381e-05
55,55,original_fixed,marginal,,,-3.6822081673516465,0.0
55,55,original_fixed,additive,1e-06,,-7.277193424906617,-3.5949852575549706
55,55,original_fixed,additive,0.0001,,-5.98008115655788,-2.2978729892062333
55,55,original_fixed,additive,0.001,,-5.332447466206779,-1.6502392988551327
55,55,original_fixed,additive,0.01,,-4.693395980838968,-1.0111878134873216
55,55,original_fixed,additive,0.1,,-4.125278197715147,-0.4430700303635007
55,55,original_fixed,additive,1.0,,-3.882288811946156,-0.20008064459450958
55,55,original_fixed,additive,5.0,,-3.9386412596480778,-0.2564330922964313
55,55,original_fixed,additive,10.0,,-3.9659281390617998,-0.2837199717101533
55,55,original_fixed,backoff,1e-06,10.0,-3.9413457365302946,-0.25913756917864816
55,55,original_fixed,backoff,1e-06,50.0,-3.7269434544762423,-0.044735287124595846
55,55,original_fixed,backoff,1e-06,100.0,-3.6924155898225384,-0.010207422470891903
55,55,original_fixed,backoff,1e-06,200.0,-3.680097385176248,0.0021107821753982847
55,55,original_fixed,backoff,1e-06,500.0,-3.678257682089618,0.003950485262028458
55,55,original_fixed,backoff,1e-06,1000.0,-3.6795026415255028,0.0027055258261436954
55,55,original_fixed,backoff,0.0001,10.0,-3.9411860632797144,-0.25897789592806797
55,55,original_fixed,backoff,0.0001,50.0,-3.726927093834547,-0.044718926482900656
55,55,original_fixed,backoff,0.0001,100.0,-3.692412292359752,-0.010204125008105525
55,55,original_fixed,backoff,0.0001,200.0,-3.6800980898369944,0.0021100775146520867
55,55,original_fixed,backoff,0.0001,500.0,-3.6782588951964805,0.003949272155165939
55,55,original_fixed,backoff,0.0001,1000.0,-3.679503461126583,0.002704706225063358
55,55,original_fixed,backoff,0.001,10.0,-3.939757788030863,-0.2575496206792165
55,55,original_fixed,backoff,0.001,50.0,-3.7267796752769775,-0.044571507925331044
55,55,original_fixed,backoff,0.001,100.0,-3.6923827077997142,-0.01017454044806776
55,55,original_fixed,backoff,0.001,200.0,-3.680104609188977,0.0021035581626693833
55,55,original_fixed,backoff,0.001,500.0,-3.678269942927997,0.003938224423649661
55,55,original_fixed,backoff,0.001,1000.0,-3.6795109164482454,0.002697250903401116
55,55,original_fixed,backoff,0.01,10.0,-3.927251643153795,-0.2450434758021487
55,55,original_fixed,backoff,0.01,50.0,-3.7254249423926997,-0.04321677504105326
55,55,original_fixed,backoff,0.01,100.0,-3.6921228665525887,-0.009914699200942234
55,55,original_fixed,backoff,0.01,200.0,-3.6801800315818123,0.002028135769834183
55,55,original_fixed,backoff,0.01,500.0,-3.678382033788368,0.003826133563278322
55,55,original_fixed,backoff,0.01,1000.0,-3.6795857603272273,0.002622407024419182
55,55,original_fixed,backoff,0.1,10.0,-3.8633332953219854,-0.18112512797033897
55,55,original_fixed,backoff,0.1,50.0,-3.7185764235951955,-0.036368256243549
55,55,original_fixed,backoff,0.1,100.0,-3.691652205161355,-0.009444037809708483
55,55,original_fixed,backoff,0.1,200.0,-3.681485604754674,0.0007225625969726757
55,55,original_fixed,backoff,0.1,500.0,-3.6795365478472672,0.002671619504379219
55,55,original_fixed,backoff,0.1,1000.0,-3.680309752713753,0.0018984146378935307
55,55,original_fixed,backoff,1.0,10.0,-3.811802776320941,-0.12959460896929453
55,55,original_fixed,backoff,1.0,50.0,-3.733878482812156,-0.051670315460509375
55,55,original_fixed,backoff,1.0,100.0,-3.7095277435998253,-0.027319576248178823
