h,N,N_actual,sigma,n_train,n_val,n_test,model,test_ll,delta_ll,val_ll,accuracy,severity,alpha,tau
5,35,35,0.6093597035247571,1654,355,355,backoff,-3.5183880994702896,0.0363073706793684,-3.515705950189041,0.030985915492957747,8.535544011299823,1e-06,100.0
5,35,35,0.6093597035247571,1654,355,355,state_cond_nn,-3.6478428840637207,-0.09314741391406267,-3.5246636867523193,0.022535210475325584,8.839508056640625,,
5,35,35,0.6093597035247571,1654,355,355,state_free_nn,-3.664360284805298,-0.10966481465563982,-3.516876220703125,0.022535210475325584,8.721382141113281,,
5,55,55,1.0,1654,355,355,marginal,-4.007260070092447,0.0,-4.007444801388437,0.028169014084507043,,,
5,55,55,1.0,1654,355,355,additive,-3.992575915522456,0.014684154569990948,-3.9829412662743304,0.022535211267605635,13.69216852219465,5.0,
5,55,55,1.0,1654,355,355,backoff,-3.9960711709140897,0.011188899178357303,-3.9788960005204053,0.028169014084507043,13.477952525663238,0.1,100.0
5,55,55,1.0,1654,355,355,state_cond_nn,-4.030080318450928,-0.022820248358480733,-3.969336986541748,0.014084506779909134,13.64130973815918,,
5,55,55,1.0,1654,355,355,state_free_nn,-4.033176422119141,-0.025916352026693623,-3.973945140838623,0.0253521129488945,13.801004409790039,,
10,10,10,0.19854958833195102,1651,354,354,marginal,-2.3026507940320227,0.0,-2.302652454217924,0.05084745762711865,,,
10,10,10,0.19854958833195102,1651,354,354,additive,-2.286258595706187,0.016392198325835494,-2.2939798710982124,0.14689265536723164,2.6661541668463653,10.0,
10,10,10,0.19854958833195102,1651,354,354,backoff,-2.2878380882737286,0.014812705758294076,-2.2934946379075205,0.1497175141242938,2.6775072865842784,10.0,10.0
10,10,10,0.19854958833195102,1651,354,354,state_cond_nn,-2.3117685317993164,-0.009117737767293743,-2.2709808349609375,0.12711864709854126,2.617807388305664,,
10,10,10,0.19854958833195102,1651,354,354,state_free_nn,-2.328627824783325,-0.025977030751302532,-2.276801347732544,0.12994350492954254,2.6024258136749268,,
10,20,20,0.3784496636882794,1651,354,354,marginal,-2.9955687703954794,0.0,-2.995842699392238,0.05084745762711865,,,
10,20,20,0.3784496636882794,1651,354,354,additive,-2.982930385690276,0.01263838470520362,-2.991631116536053,0.07344632768361582,5.4008189303560545,10.0,
10,20,20,0.3784496636882794,1651,354,354,backoff,-2.9845355639312476,0.011033206464231782,-2.991202585527886,0.06779661016949153,5.4148380850766635,10.0,10.0
10,20,20,0.3784496636882794,1651,354,354,state_cond_nn,-2.9736480712890625,0.02192069910641692,-2.975003480911255,0.08192090690135956,5.458832263946533,,
10,20,20,0.3784496636882794,1651,354,354,state_free_nn,-3.002216339111328,-0.006647568715848706,-2.981971263885498,0.02259887009859085,5.420553207397461,,
10,35,35,0.641555840234503,1651,354,354,marginal,-3.5546469702069574,0.0,-3.555360644846943,0.022598870056497175,,,
10,35,35,0.641555840234503,1651,354,354,additive,-3.550941905064145,0.003705065142812547,-3.549327419400129,0.03954802259887006,9.441522855741855,10.0,
10,35,35,0.641555840234503,1651,354,354,backoff,-3.5509368757588855,0.00371009444807191,-3.5493784622691766,0.0423728813559322,9.42154852940624,1.0,100.0
10,35,35,0.641555840234503,1651,354,354,state_cond_nn,-3.6168274879455566,-0.06218051773859923,-3.532334804534912,0.031073445454239845,9.276405334472656,,
10,35,35,0.641555840234503,1651,354,354,state_free_nn,-3.5652148723602295,-0.01056790215327208,-3.531414747238159,0.02259887009859085,9.36829662322998,,
10,55,55,1.0,1651,354,354,marginal,-4.007938511924792,0.0,-4.00738275251682,0.0,,,
10,55,55,1.0,1651,354,354,additive,-4.001537459180592,0.0064010527441995535,-4.002236917340376,0.022598870056497175,14.855902230048224,10.0,
10,55,55,1.0,1651,354,354,backoff,-4.000823629715106,0.007114882209685369,-4.001825462462227,0.022598870056497175,14.829477727818254,5.0,10.0
10,55,55,1.0,1651,354,354,state_cond_nn,-3.9825994968414307,0.025339015083361005,-3.993326425552368,0.028248587623238564,14.731090545654297,,
10,55,55,1.0,1651,354,354,state_free_nn,-3.9922006130218506,0.015737898902941083,-3.9870543479919434,0.014124293811619282,14.805007934570312,,
